Instance, n0, n,R, A, RotateEnable, UB, UB0Time, incTime, totalTime
CBPP-RI-1000-1,1000,1000,14.14,628.1287785216819,F,134,156.12,156.12,600.0,
CBPP-RI-1000-1,1000,1000,14.14,628.1287785216819,R,133,311.357,311.357,600.0,
CBPP-RI-1000-2,1000,1000,14.14,628.1287785216819,F,47,24.204,24.204,600.0,
CBPP-RI-1000-2,1000,1000,14.14,628.1287785216819,R,46,29.302,29.302,600.0,
CBPP-RI-1000-3,1000,1000,14.14,628.1287785216819,F,48,12.781,12.781,600.001,
CBPP-RI-1000-3,1000,1000,14.14,628.1287785216819,R,47,39.269,39.269,600.001,
CBPP-RI-1000-4,1000,1000,14.14,628.1287785216819,F,17,2.685,2.685,600.009,
CBPP-RI-1000-4,1000,1000,14.14,628.1287785216819,R,17,5.307,5.307,600.005,
CBPP-RI-200-1,200,200,14.14,628.1287785216819,F,27,5.876,5.876,600.002,
CBPP-RI-200-1,200,200,14.14,628.1287785216819,R,27,12.086,12.086,600.001,
CBPP-RI-200-2,200,200,14.14,628.1287785216819,F,10,0.995,0.995,600.002,
CBPP-RI-200-2,200,200,14.14,628.1287785216819,R,10,1.322,1.322,600.004,
CBPP-RI-200-3,200,200,14.14,628.1287785216819,F,9,0.415,0.415,600.001,
CBPP-RI-200-3,200,200,14.14,628.1287785216819,R,9,1.335,1.335,600.0,
CBPP-RI-200-4,200,200,14.14,628.1287785216819,F,4,0.102,0.102,600.001,
CBPP-RI-200-4,200,200,14.14,628.1287785216819,R,4,0.189,0.189,600.0,
CBPP-RI-400-1,400,400,14.14,628.1287785216819,F,54,26.237,26.237,600.003,
CBPP-RI-400-1,400,400,14.14,628.1287785216819,R,54,46.961,46.961,600.012,
CBPP-RI-400-2,400,400,14.14,628.1287785216819,F,19,3.86,3.86,600.009,
CBPP-RI-400-2,400,400,14.14,628.1287785216819,R,19,4.517,4.517,600.002,
CBPP-RI-400-3,400,400,14.14,628.1287785216819,F,19,2.129,2.129,600.006,
CBPP-RI-400-3,400,400,14.14,628.1287785216819,R,19,6.336,6.336,600.005,
CBPP-RI-400-4,400,400,14.14,628.1287785216819,F,7,0.432,0.432,600.012,
CBPP-RI-400-4,400,400,14.14,628.1287785216819,R,7,0.758,0.758,600.007,
CBPP-RI-600-1,600,600,14.14,628.1287785216819,F,81,58.424,58.424,600.005,
CBPP-RI-600-1,600,600,14.14,628.1287785216819,R,80,114.584,114.584,600.0,
CBPP-RI-600-2,600,600,14.14,628.1287785216819,F,28,8.414,8.414,600.003,
CBPP-RI-600-2,600,600,14.14,628.1287785216819,R,27,10.602,10.602,600.014,
CBPP-RI-600-3,600,600,14.14,628.1287785216819,F,29,5.09,5.09,600.011,
CBPP-RI-600-3,600,600,14.14,628.1287785216819,R,29,14.995,14.995,600.006,
CBPP-RI-600-4,600,600,14.14,628.1287785216819,F,11,1.039,1.039,600.0,
CBPP-RI-600-4,600,600,14.14,628.1287785216819,R,11,1.952,1.952,600.004,
CBPP-RI-800-1,800,800,14.14,628.1287785216819,F,109,110.645,110.645,600.005,
CBPP-RI-800-1,800,800,14.14,628.1287785216819,R,108,203.918,203.918,600.012,
CBPP-RI-800-2,800,800,14.14,628.1287785216819,F,38,14.85,14.85,600.008,
CBPP-RI-800-2,800,800,14.14,628.1287785216819,R,38,19.304,19.304,600.004,
CBPP-RI-800-3,800,800,14.14,628.1287785216819,F,38,8.159,8.159,600.004,
CBPP-RI-800-3,800,800,14.14,628.1287785216819,R,38,24.8,24.8,600.006,
CBPP-RI-800-4,800,800,14.14,628.1287785216819,F,14,1.718,1.718,600.007,
CBPP-RI-800-4,800,800,14.14,628.1287785216819,R,14,3.401,3.401,600.015,
