Instance, R,A, A', n, RotateEnable, Opt, Gap, LB_Area, LB_MT, LB_Area_Imp, LB_MT_Imp, LB_Best, UB0, UB, lbTime, ub0Time, incTime, totalTime
CBPP-RI-1000-1,14.14,628.1287785,545.7656591,1000,F,0,0.169354839,90,90,103,103,103,126,124,0.282,0.121,59.173,60.093
CBPP-RI-1000-1,14.14,628.1287785,545.7656591,1000,R,0,0.162601626,90,90,103,103,103,124,123,0.182,0.245,1.272,60.151
CBPP-RI-1000-2,14.14,628.1287785,608.4826335,1000,F,0,0.11627907,36,36,38,38,38,44,43,0.327,0.066,33.702,60.052
CBPP-RI-1000-2,14.14,628.1287785,610.6206314,1000,R,0,0.139534884,36,36,37,37,37,43,43,0.24,0.182,0.182,60.393
CBPP-RI-1000-3,14.14,628.1287785,608.2464753,1000,F,0,0.136363636,36,36,38,38,38,44,44,0.326,0.068,0.068,60.007
CBPP-RI-1000-3,14.14,628.1287785,610.4024231,1000,R,0,0.139534884,36,36,37,37,37,43,43,0.253,0.175,0.175,60.263
CBPP-RI-1000-4,14.14,628.1287785,610.6206314,1000,F,0,0.0625,15,15,15,15,15,16,16,0.245,0.068,0.068,60.154
CBPP-RI-1000-4,14.14,628.1287785,610.6206314,1000,R,0,0.0625,15,15,15,15,15,16,16,0.24,0.211,0.211,60.342
CBPP-RI-200-1,14.14,628.1287785,544.7134355,200,F,0,0.166666667,18,18,20,20,20,25,24,0.16,0.003,0.03,60.004
CBPP-RI-200-1,14.14,628.1287785,544.863969,200,R,0,0.130434783,18,18,20,20,20,24,23,0.161,0.008,10.925,60.013
CBPP-RI-200-2,14.14,628.1287785,608.2464753,200,F,0,0.111111111,8,8,8,8,8,10,9,0.326,0.002,33.636,60.005
CBPP-RI-200-2,14.14,628.1287785,610.4024231,200,R,0,0.111111111,8,8,8,8,8,9,9,0.242,0.01,0.01,60.026
CBPP-RI-200-3,14.14,628.1287785,608.0578608,200,F,0,0.125,7,7,7,7,7,9,8,0.332,0.004,4.27,60.007
