Instance: r100
Bin radius: 12.25
Rho: 1/2
Rotate enable: false
Packed item area: 431.48299999999995
Packed item count: 53
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-1.69,-12.13286445980503,3.38,3.74
-4.92,-11.218560513720108,3.23,1.4
-7.26,-9.866858669303012,2.34,4.39
-11.91,-2.8660774588276543,4.65,2.88
-11.11,-5.0860774588276545,3.85,2.22
-10.34,-6.136077458827654,3.08,1.05
-9.84,-7.136077458827654,2.58,1.0
-8.92,-8.376077458827654,1.66,1.24
1.69,-11.357570162671239,2.9,4.45
4.59,-9.387523635123378,3.28,4.68
4.59,-10.547523635123378,1.58,1.16
7.869999999999999,-2.2585172126862405,4.17,2.47
7.869999999999999,-3.82851721268624,3.63,1.57
7.869999999999999,-5.99851721268624,2.54,2.17
7.869999999999999,-7.20851721268624,2.02,1.21
-4.92,-9.818560513720108,3.15,2.18
-1.77,-8.392864459805029,3.46,3.81
-4.87,-7.638560513720108,3.1,1.68
1.69,-6.907570162671239,2.81,3.6
-4.71,-5.9585605137201085,2.94,2.91
-7.26,-5.476858669303012,2.55,3.36
4.51,-4.707523635123378,3.36,2.89
-1.77,-4.5828644598050285,3.46,3.2
1.69,-3.307570162671239,2.64,4.86
-4.6899999999999995,-3.0485605137201084,2.92,2.25
-7.26,-2.1168586693030123,2.38,3.88
4.33,-1.817523635123378,3.54,4.93
-1.7699999999999996,-1.3828644598050284,3.46,3.89
-4.799999999999999,-0.7985605137201084,3.03,1.93
-12.17,0.013922541172345593,4.91,1.18
7.87,0.2114827873137597,3.98,1.89
-4.789999999999999,1.1314394862798915,3.02,4.39
-11.99,1.1939225411723455,4.73,1.05
1.7500000000000009,1.5524298373287615,2.58,4.72
-7.1899999999999995,1.7631413306969876,2.4,4.84
7.87,2.10148278731376,3.89,1.3
-11.48,2.2439225411723456,4.29,1.94
-1.7499999999999991,2.5071355401949718,3.5,3.18
4.330000000000001,3.112476364876622,3.43,4.36
7.760000000000002,3.4014827873137596,2.69,2.8
-10.379999999999999,4.183922541172345,3.19,2.16
-4.789999999999999,5.521439486279891,3.03,2.85
-1.7599999999999993,5.687135540194972,3.5,2.87
7.760000000000002,6.2014827873137595,1.77,1.44
1.7400000000000007,6.272429837328762,2.18,3.96
-8.87,6.343922541172345,1.68,1.87
-6.989999999999999,6.603141330696987,2.2,2.88
3.920000000000001,7.472476364876622,2.26,2.96
6.180000000000001,7.472476364876622,1.44,1.72
-3.53,8.371439486279892,1.77,3.35
-4.71,8.371439486279892,1.18,2.71
-1.7599999999999998,8.557135540194972,3.44,3.48
1.6800000000000002,10.232429837328763,1.82,1.48
